"","Category","RGS","AC","PValue"
"4","Metabolism: lipid",12,525,6.15284652510902e-11
"15","Transmembrane transport: chloride channel",2,44,0.00180461383703088
"14","Transmembrane transport: ammonium",1,6,0.00928551330352845
"9","Proteolysis general: lysozyme",1,11,0.0158639394823443
"7","Metabolism: pentose phosphate pathway",1,13,0.0184827725005473
"12","Transcription factor: forkhead",1,14,0.0197895123983175
"2","Extracellular material: galectin",1,25,0.0340466440902143
"16","Transmembrane transport: mitochondrial",1,34,0.0455535641614117
"8","Proteolysis general: cysteine",1,41,0.0544063033288607
"17","Transmembrane transport: other",1,51,0.0669074787400167
"3","Metabolism: carbohydrate",1,83,0.10578602144876
"11","Trafficking: ER/Golgi",1,87,0.110527830317719
"5","Metabolism: nucleotide",1,111,0.138443115734377
"10","Stress response: pathogen",1,177,0.210676631021861
"1","Extracellular material: collagen",1,185,0.219000477077135
"6","Metabolism: other",1,190,0.224157192254976
"13","Transcription factor: NHR",1,259,0.291863476791388
"18","Unknown",11,8160,0.514037858805234
